scenario,seed,avg_wait,avg_travel_time,avg_queue,p95_queue,completed_trips,throughput,gridlock_duration,gridlock_events,policy_inference_latency_ms,cpu_usage,peak_memory_mb,failed,incomplete,steps,gridlock_pct,fail_reason,spawned,final_vehicles
uneven,1012,4.471518581891957,85.84878048780487,0.1915798611111111,1.1347222222222213,410,1.1388888888888888,0.0,0,0.010790457043994037,100.68277777777779,719.53125,False,False,360,0.0,,533,123
uneven,1013,4.841613741924141,90.78851174934726,0.191796875,1.1143055555555545,383,1.0638888888888889,0.0,0,0.010732738863023568,99.90666666666667,719.55078125,False,False,360,0.0,,540,157
uneven,1014,5.231556503426063,86.57731958762886,0.20768229166666666,1.164999999999999,388,1.0777777777777777,0.0,0,0.010702197161865316,100.2825,719.5703125,False,False,360,0.0,,525,137
uneven,1015,4.761579564893715,87.50140056022408,0.19613715277777777,1.1159722222222213,357,0.9916666666666667,0.0,0,0.011683628064121068,99.49972222222223,719.5859375,False,False,360,0.0,,517,160
uneven,1016,4.984756693089532,90.07894736842105,0.2279079861111111,1.292499999999999,380,1.0555555555555556,0.0,0,0.010501349738155518,100.12555555555555,719.609375,False,False,360,0.0,,554,174
uneven,1017,4.5408135967437175,89.95212765957447,0.18246527777777777,1.0919444444444435,376,1.0444444444444445,0.0,0,0.010432534276737392,100.5825,719.62109375,False,False,360,0.0,,521,145
uneven,1018,4.406560744028408,86.96825396825396,0.18953993055555557,1.0773611111111103,378,1.05,0.0,0,0.010826030534695342,99.10722222222222,719.6328125,False,False,360,0.0,,523,145
uneven,1019,4.353035098611637,87.6,0.19422743055555555,1.1398611111111099,380,1.0555555555555556,0.0,0,0.010970667669122728,100.24777777777777,719.640625,False,False,360,0.0,,522,142
road_closure,1000,4.072407948604154,85.61363636363636,0.14596774193548387,0.9270833333333327,308,0.8555555555555555,0.0,0,0.010766418108687503,99.98055555555555,719.6484375,False,False,360,0.0,,440,132
road_closure,1001,3.962747421161267,85.79239766081871,0.16294802867383512,0.9631944444444438,342,0.95,0.0,0,0.010617005136737134,100.0461111111111,719.65625,False,False,360,0.0,,478,136
road_closure,1002,4.23276702697919,86.90938511326861,0.15725806451612903,0.9649999999999993,309,0.8583333333333333,0.0,0,0.01076580601875321,100.27666666666666,719.67578125,False,False,360,0.0,,434,125
road_closure,1003,4.6582718840230735,89.08510638297872,0.1635752688172043,0.9688888888888885,329,0.9138888888888889,0.0,0,0.011071181476533335,100.72,719.6875,False,False,360,0.0,,446,117
road_closure,1004,4.22954857276365,88.21364985163204,0.1613799283154122,1.0412499999999991,337,0.9361111111111111,0.0,0,0.010643496696300443,100.06,719.69921875,False,False,360,0.0,,451,114
road_closure,1005,4.192022364287996,86.12349397590361,0.16411290322580643,0.9681944444444438,332,0.9222222222222223,0.0,0,0.010668880076991627,101.36305555555555,719.71875,False,False,360,0.0,,465,133
road_closure,1006,4.394981164179522,81.46604938271605,0.14565412186379928,0.914583333333333,324,0.9,0.0,0,0.011228199724023903,100.05722222222222,719.73828125,False,False,360,0.0,,433,109
road_closure,1007,4.507123472571612,85.62790697674419,0.1759856630824373,1.0162499999999997,344,0.9555555555555556,0.0,0,0.010920301247097086,100.92833333333333,719.75,False,False,360,0.0,,478,134
road_closure,1008,4.170047980715491,89.14012738853503,0.15985663082437276,0.9486111111111105,314,0.8722222222222222,0.0,0,0.010342358816867799,99.6575,719.765625,False,False,360,0.0,,439,125
road_closure,1009,4.38730837506723,88.009375,0.15013440860215052,0.9086111111111107,320,0.8888888888888888,0.0,0,0.011690935662045376,100.7225,719.7734375,False,False,360,0.0,,445,125
road_closure,1010,3.559584211928724,84.08681672025723,0.14099462365591398,0.9320833333333327,311,0.8638888888888889,0.0,0,0.011097405816447766,99.04166666666667,719.78515625,False,False,360,0.0,,432,121
road_closure,1011,4.671035283696289,90.12264150943396,0.162410394265233,0.972916666666666,318,0.8833333333333333,0.0,0,0.010950459313284632,100.07,719.80078125,False,False,360,0.0,,442,124
road_closure,1012,4.356550697628352,82.80952380952381,0.1665322580645161,0.9737499999999994,357,0.9916666666666667,0.0,0,0.010859821264198722,99.64861111111111,719.81640625,False,False,360,0.0,,471,114
road_closure,1013,4.489884601302152,88.30029154518951,0.17087813620071685,0.9680555555555549,343,0.9527777777777777,0.0,0,0.010672621920093661,100.0325,719.8359375,False,False,360,0.0,,479,136
road_closure,1014,3.9442985290462267,86.04672897196262,0.153673835125448,0.9326388888888882,321,0.8916666666666667,0.0,0,0.010729188903092613,100.86861111111111,719.84765625,False,False,360,0.0,,445,124
road_closure,1015,3.9494804195052655,83.77602523659306,0.142831541218638,0.9177777777777774,317,0.8805555555555555,0.0,0,0.012765006673968552,99.85944444444445,719.8671875,False,False,360,0.0,,439,122
road_closure,1016,4.313494023709787,89.43026706231454,0.18512544802867387,1.095277777777777,337,0.9361111111111111,0.0,0,0.010977216485722844,100.25166666666667,719.8828125,False,False,360,0.0,,484,147
road_closure,1017,4.222930568082321,83.009009009009,0.15739247311827959,0.9334722222222218,333,0.925,0.0,0,0.011150015274728907,99.44833333333334,719.8984375,False,False,360,0.0,,452,119
road_closure,1018,4.26932436265333,87.67528735632185,0.16568100358422938,0.9948611111111104,348,0.9666666666666667,0.0,0,0.011048345327758903,100.69333333333333,719.90625,False,False,360,0.0,,470,122
road_closure,1019,4.0214668807100304,85.33430232558139,0.16590501792114692,0.9988888888888883,344,0.9555555555555556,0.0,0,0.01173789983618513,100.31166666666665,719.92578125,False,False,360,0.0,,473,129
noisy_sensors,1000,5.295324896747719,86.3974358974359,0.18680555555555556,1.073055555555555,312,0.8666666666666667,0.0,0,0.015634150208320027,100.05611111111111,720.00390625,False,False,360,0.0,,441,129
noisy_sensors,1001,5.6784761574720255,88.51063829787235,0.20169270833333333,1.2366666666666655,329,0.9138888888888889,0.0,0,0.016459664352118528,99.42444444444445,720.03125,False,False,360,0.0,,476,147
noisy_sensors,1002,5.730216370491463,86.625,0.19361979166666668,1.1993055555555543,312,0.8666666666666667,0.0,0,0.014727689621294202,99.92472222222223,720.046875,False,False,360,0.0,,444,132
noisy_sensors,1003,5.302936175459119,85.82066869300913,0.17942708333333332,1.0656944444444438,329,0.9138888888888889,0.0,0,0.016733026738317374,100.05555555555556,720.0546875,False,False,360,0.0,,445,116
noisy_sensors,1004,5.580937200996165,93.26031746031747,0.201171875,1.1544444444444435,315,0.875,0.0,0,0.01805129601658943,99.84694444444445,720.07421875,False,False,360,0.0,,450,135
noisy_sensors,1005,5.086260156799843,82.61791044776119,0.18585069444444444,1.1144444444444432,335,0.9305555555555556,0.0,0,0.020298982639764693,100.59666666666668,720.08984375,False,False,360,0.0,,471,136
noisy_sensors,1006,5.780749192370714,91.47039473684211,0.19331597222222222,1.1544444444444435,304,0.8444444444444444,0.0,0,0.020681970798048295,99.88361111111111,720.109375,False,False,360,0.0,,433,129
noisy_sensors,1007,4.652151928845641,81.33236994219654,0.1881076388888889,1.1555555555555546,346,0.9611111111111111,0.0,0,0.01812068537926987,99.46916666666667,720.125,False,False,360,0.0,,483,137
noisy_sensors,1008,5.282995073744448,83.97852760736197,0.18680555555555556,1.0948611111111102,326,0.9055555555555556,0.0,0,0.017053542938406788,101.00500000000001,720.140625,False,False,360,0.0,,451,125
noisy_sensors,1009,5.443032757662495,85.10322580645162,0.17934027777777778,1.0831944444444432,310,0.8611111111111112,0.0,0,0.01576241354794345,100.36138888888888,720.1484375,False,False,360,0.0,,452,142
noisy_sensors,1010,4.718540076609425,84.36875,0.17300347222222223,1.0647222222222212,320,0.8888888888888888,0.0,0,0.015435731842848731,99.62138888888889,720.171875,False,False,360,0.0,,450,130
noisy_sensors,1011,5.848039962033133,89.990990990991,0.203125,1.1470833333333321,333,0.925,0.0,0,0.015318013023109719,100.2725,720.18359375,False,False,360,0.0,,452,119
noisy_sensors,1012,5.997966878423351,87.72126436781609,0.21254340277777778,1.193888888888888,348,0.9666666666666667,0.0,0,0.01467796268520437,99.84083333333332,720.1953125,False,False,360,0.0,,466,118
noisy_sensors,1013,5.959543221245303,95.02949852507375,0.2185329861111111,1.2690277777777768,339,0.9416666666666667,0.0,0,0.015086494446829116,100.01361111111112,720.21484375,False,False,360,0.0,,482,143
noisy_sensors,1014,5.508456714357309,87.62382445141066,0.18650173611111112,1.1211111111111103,319,0.8861111111111111,0.0,0,0.015185613180316674,100.07194444444445,720.23046875,False,False,360,0.0,,445,126
noisy_sensors,1015,5.398603882848949,85.63333333333334,0.19522569444444443,1.1779166666666656,330,0.9166666666666666,0.0,0,0.016030831931048952,99.60333333333332,720.23828125,False,False,360,0.0,,450,120
noisy_sensors,1016,5.694614193943613,92.74085365853658,0.22447916666666667,1.2816666666666656,328,0.9111111111111111,0.0,0,0.01576171362103196,100.55333333333333,720.26953125,False,False,360,0.0,,491,163
noisy_sensors,1017,5.608117241268835,90.65902578796562,0.2049045138888889,1.177638888888888,349,0.9694444444444444,0.0,0,0.016768211723198572,99.6675,720.28125,False,False,360,0.0,,459,110
noisy_sensors,1018,5.6827669574127695,89.14114114114115,0.19895833333333332,1.1584722222222212,333,0.925,0.0,0,0.017118095628474193,100.18805555555555,720.28515625,False,False,360,0.0,,455,122
noisy_sensors,1019,4.671494871155773,82.40184049079754,0.19171006944444444,1.1629166666666657,326,0.9055555555555556,0.0,0,0.015940787741581315,100.1175,720.30078125,False,False,360,0.0,,469,143
missing_sensors,1000,12.913267966845039,95.02380952380952,0.4173611111111111,2.49708333333333,294,0.8166666666666667,0.0,0,0.010912427711041851,99.01277777777777,720.37890625,False,False,360,0.0,,441,147
missing_sensors,1001,16.248599518995352,95.71186440677967,0.5211805555555555,3.014027777777775,295,0.8194444444444444,0.0,0,0.010742197607922006,99.76583333333332,720.41015625,False,False,360,0.0,,476,181
missing_sensors,1002,13.00185761985458,95.0136518771331,0.43276909722222223,2.4556944444444424,293,0.8138888888888889,0.0,0,0.011057095808711084,100.0586111111111,720.43359375,False,False,360,0.0,,444,151
missing_sensors,1003,9.726475382992259,89.33009708737865,0.31710069444444444,1.9129166666666646,309,0.8583333333333333,0.0,0,0.010895646321134538,99.71055555555556,720.4375,False,False,360,0.0,,445,136
